# Sampled contour points mapped to gantry coordinates (x_mm, y_mm)
# work_w_mm = 150.0
# work_h_mm = 270.0
# margin_mm = 5.0
# scale_mm_per_px = 0.25925926
# x_offset_mm = 5.00000000
# y_offset_mm = 88.33333333
# image_size_px = (540, 360)
# used_size_mm = (140.00000000, 93.33333333)
# Origin convention: top-left of gantry work area is (0,0), +Y is down

# Contour 0
102.741, 92.481
100.926, 95.619
100.407, 96.889
98.111, 96.630
94.437, 97.148
93.667, 97.407
91.904, 95.126
89.778, 93.519
89.778, 94.188
89.778, 94.615
89.778, 98.289
89.259, 101.964
89.519, 105.745
91.014, 109.014
91.852, 109.852
91.333, 111.763
91.074, 112.234
90.296, 115.801
90.037, 119.582
90.556, 123.256
91.784, 126.636
92.889, 129.704
92.889, 130.068
93.667, 133.634
94.444, 137.201
93.926, 138.370
92.889, 136.295
92.370, 133.503
92.370, 132.621
91.852, 128.947
90.505, 125.616
89.000, 125.148
88.595, 127.077
89.519, 130.583
90.645, 133.793
90.556, 134.042
91.074, 137.717
91.074, 141.605
89.703, 144.926
89.519, 145.111
85.891, 145.111
82.002, 145.111
78.113, 145.111
77.593, 144.852
79.667, 142.450
80.704, 138.990
80.963, 135.209
80.963, 135.191
80.704, 131.427
80.704, 131.410
79.667, 127.968
77.444, 125.000
76.037, 121.694
76.037, 117.805
75.778, 114.023
75.259, 112.963
77.411, 111.848
79.611, 108.870
80.158, 107.545
81.520, 105.924
84.346, 103.358
84.852, 101.815
82.930, 101.296
79.667, 102.074
79.452, 101.860
76.808, 99.222
74.222, 97.926
73.963, 97.267
73.670, 96.077
73.130, 93.723
72.407, 93.000
71.069, 94.857
69.236, 97.986
66.594, 100.629
65.407, 104.026
64.630, 107.593
63.074, 110.838
61.094, 113.906
59.704, 117.219
58.894, 120.773
57.611, 124.130
56.144, 127.411
55.628, 129.483
55.037, 130.842
54.128, 134.354
53.904, 138.015
55.004, 141.448
57.798, 143.724
61.156, 145.007
64.817, 145.039
67.407, 145.555
68.250, 146.139
70.968, 148.598
72.148, 150.761
72.407, 151.891
72.197, 155.692
71.280, 159.202
69.997, 162.559
69.373, 164.738
68.897, 165.992
69.025, 169.729
71.194, 172.416
72.667, 172.852
74.627, 172.188
77.074, 172.074
77.593, 173.039
75.734, 176.007
72.301, 177.107
70.198, 177.124
68.868, 176.312
66.225, 173.669
65.125, 170.236
64.630, 168.523
64.630, 166.553
65.234, 162.914
66.444, 159.526
67.741, 156.175
68.259, 152.500
66.885, 149.181
63.930, 146.926
60.550, 145.698
56.813, 145.331
53.015, 145.111
49.126, 145.111
45.237, 145.111
41.348, 145.111
37.459, 145.111
33.570, 145.111
29.682, 145.111
25.793, 145.111
21.904, 145.111
18.015, 145.111
14.126, 145.111
11.222, 145.111
11.948, 145.370
15.837, 145.370
19.726, 145.370
23.615, 145.370
27.504, 145.370
31.393, 145.370
35.281, 145.370
39.170, 145.370
43.059, 145.370
46.948, 145.370
50.837, 145.370
54.726, 145.370
58.507, 145.630
62.074, 146.407
65.269, 148.084
67.545, 150.878
68.000, 154.363
66.963, 157.823
65.667, 161.175
64.758, 164.687
65.407, 172.090
67.222, 175.227
73.923, 177.000
77.064, 175.195
77.173, 171.913
76.815, 171.556
73.754, 172.333
71.889, 172.593
70.382, 171.604
68.916, 168.323
70.593, 161.354
71.889, 158.002
72.667, 154.435
70.460, 147.571
63.916, 144.593
60.242, 144.593
57.031, 142.957
54.519, 140.261
54.000, 136.586
54.711, 132.992
56.911, 126.126
58.378, 122.844
59.444, 119.397
60.395, 115.902
62.044, 112.696
63.878, 109.567
65.148, 106.204
65.926, 102.637
67.911, 99.571
70.477, 96.745
71.944, 93.463
72.148, 93.259
73.963, 98.185
75.364, 98.809
