# x_mm,y_mm,mode
# mode 0 = travel / pen up
# mode 1 = draw / pen down
105.07,102.58,1
103.78,95.34,1
102.74,92.48,1
92.89,142.26,0
96.35,142.78,1
99.59,144.33,1
103.04,145.41,1
106.73,145.89,1
110.51,145.63,1
112.85,145.89,1
111.76,146.72,1
108.60,148.48,1
105.14,149.52,1
101.47,150.04,1
97.80,149.50,1
94.55,147.96,1
92.11,145.14,1
91.85,143.04,1
92.89,142.26,1
66.70,108.56,0
70.16,109.07,1
73.19,111.15,1
74.22,112.96,1
72.78,112.96,1
69.33,111.93,1
66.70,109.44,1
66.44,108.81,1
66.70,108.56,1
67.74,143.81,0
71.33,144.03,1
74.98,144.59,1
76.30,145.11,1
74.32,146.05,1
70.58,145.89,1
67.74,143.81,1
