# Sampled contour points mapped to A4 coordinates (x_mm, y_mm)
# page_w_mm = 210.0
# page_h_mm = 297.0
# margin_mm = 10.0
# scale_mm_per_px = 0.44496487
# x_offset_mm = 10.00000000
# y_offset_mm = 60.39695550
# image_size_px = (427, 396)
# used_size_mm = (190.00000000, 176.20608899)
# Origin convention: bottom-left of A4 page is (0,0)

# Contour 0
27.354, 225.034
27.354, 218.359
27.354, 211.685
27.354, 205.011
27.354, 198.336
27.354, 191.662
27.354, 184.987
27.354, 178.313
27.354, 171.638
27.354, 164.964
27.354, 158.289
27.354, 151.615
27.354, 144.940
27.354, 138.266
27.354, 131.591
27.354, 124.917
27.354, 118.242
27.354, 111.568
27.354, 104.893
27.354, 98.219
27.354, 91.544
27.354, 84.870
27.354, 78.196
27.354, 71.521
27.354, 68.851
31.358, 68.851
38.033, 68.851
44.707, 68.851
51.382, 68.851
58.056, 68.851
64.731, 68.851
71.405, 68.851
78.080, 68.851
84.754, 68.851
91.429, 68.851
98.103, 68.851
104.778, 68.851
111.452, 68.851
118.126, 68.851
124.801, 68.851
131.475, 68.851
138.150, 68.851
144.824, 68.851
151.499, 68.851
158.173, 68.851
164.848, 68.851
171.522, 68.851
178.197, 68.851
183.536, 68.851
183.536, 70.186
183.536, 76.861
183.536, 83.535
183.536, 90.210
183.536, 96.884
183.536, 103.559
183.536, 110.233
183.536, 116.907
183.536, 123.582
183.536, 130.256
183.536, 136.931
183.536, 143.605
183.536, 150.280
183.536, 156.954
183.536, 163.629
183.536, 170.303
183.536, 176.978
183.536, 183.652
183.536, 190.327
183.536, 197.001
183.536, 203.676
183.536, 210.350
183.536, 217.025
183.536, 223.699
183.536, 225.034
178.197, 225.034
171.522, 225.034
164.848, 225.034
158.173, 225.034
151.499, 225.034
144.824, 225.034
138.150, 225.034
131.475, 225.034
124.801, 225.034
118.126, 225.034
111.452, 225.034
104.778, 225.034
98.103, 225.034
91.429, 225.034
84.754, 225.034
78.080, 225.034
71.405, 225.034
64.731, 225.034
58.056, 225.034
51.382, 225.034
44.707, 225.034
38.033, 225.034
31.358, 225.034
27.354, 225.034

# Contour 1
30.023, 221.919
36.514, 222.364
43.188, 222.364
49.863, 222.364
56.537, 222.364
63.211, 222.364
69.886, 222.364
76.560, 222.364
83.235, 222.364
89.909, 222.364
96.584, 222.364
103.258, 222.364
109.933, 222.364
116.607, 222.364
123.282, 222.364
129.956, 222.364
136.631, 222.364
143.305, 222.364
149.980, 222.364
156.654, 222.364
163.329, 222.364
170.003, 222.364
176.678, 222.364
180.867, 221.919
180.867, 219.618
180.867, 212.944
180.867, 206.269
180.867, 199.595
180.867, 192.920
180.867, 186.246
180.867, 179.571
180.867, 172.897
180.867, 166.222
180.867, 159.548
180.867, 152.873
180.867, 146.199
180.867, 139.524
180.867, 132.850
180.867, 126.175
180.867, 119.501
180.867, 112.826
180.867, 106.152
180.867, 99.478
180.867, 92.803
180.867, 86.129
180.867, 79.454
180.867, 72.780
180.422, 71.521
175.190, 71.521
168.515, 71.521
161.841, 71.521
155.167, 71.521
148.492, 71.521
141.818, 71.521
135.143, 71.521
128.469, 71.521
121.794, 71.521
115.120, 71.521
108.445, 71.521
101.771, 71.521
95.096, 71.521
88.422, 71.521
81.747, 71.521
75.073, 71.521
68.398, 71.521
61.724, 71.521
55.049, 71.521
48.375, 71.521
41.700, 71.521
35.026, 71.521
30.468, 71.521
30.023, 73.454
30.023, 80.128
30.023, 86.803
30.023, 93.477
30.023, 100.152
30.023, 106.826
30.023, 113.500
30.023, 120.175
30.023, 126.849
30.023, 133.524
30.023, 140.198
30.023, 146.873
30.023, 153.547
30.023, 160.222
30.023, 166.896
30.023, 173.571
30.023, 180.245
30.023, 186.920
30.023, 193.594
30.023, 200.269
30.023, 206.943
30.023, 213.618
30.023, 220.292
30.023, 221.919
